Nombre,Y,X,tipo,
La Grita,8.137280,-71.986355,ciudad,
Mérida,8.597486,-71.144319,ciudad,
San Cristobal,7.768106,-72.232380,villa,
Bailadores,8.250651,-71.828562,pueblo,
Ejido,8.547577,-71.235582,parroquia,
Cúcuta,7.885996,-72.504560,parroquia,
Mesa de Esnujaque,9.047496,-70.705227,parroquia,
Estanques,8.461967,-71.518816,parroquia,
Trujillo,9.365508,-70.436209,ciudad,
Santa Lucía de Timotes,8.983446,-70.739887,parroquia,
Lagunillas,8.495676,-71.389709,pueblo,
Barinas,8.632028,-70.210179,ciudad,
Lobatera,7.930309,-72.247520,parroquia,
