Topónimo,Otros_nombres,Denominación_actual,Tipo,Jurisdicción,Lat,Lon
Aipe,,,,,3.221944,-75.2375
Alausí,,,,,-2.2,-78.85
Ambalema,,,,,4.781667,-74.763889
Anapoima,,,,,4.550278,-74.536111
Angostura,,Ciudad Bolívar,Ciudad,,8.14625,-63.550749
Anolaima,,,,,4.763333,-74.464722
Anserma,,,Ciudad,,5.235947,-75.78514
Arma de Rionegro,,Rionegro,,Antioquia,6.15437,-75.37246
Baranoa,,,,,10.795556,-74.919444
Barranquilla,,,,,10.963889,-74.796389
Baudó,,,,,4.954167,-77.363611
Becerril del Campo,,,,,9.703056,-73.2775
Bituima,,,,,4.874444,-74.540556
Boca de Nechí,,Zaragoza,,Antioquia,8.095833,-74.775
Bochalema,,,,,7.611389,-72.647222
Bosa,,,,,4.616944,-74.19
Boyacá,Valle de Boyacá,,Pueblo,Tunja,5.453267,-73.362765
Buchadó,,,,,6.366669,-76.767008
Buga,,,Villa,,3.899631,-76.301996
Busbanzá,,,,,5.830278,-72.884167
Cácota,,,,,7.267778,-72.641667
Caimán,,,,,8.283394,-76.717187
Caledonia,,,,,8.828924668,-77.68676691
Cali,,,,Cauca,3.449759,-76.533485
Caracas,,,,,10.507193,-66.919095
Cartagena,,,,,10.422655,-75.539547
Cartago,,,,,4.746944,-75.911944
Cerinza,Nuestra Señora de Belén de Serinza,,Partido,Tunja,5.956389,-72.946944
Chámeza,,,,,5.214722,-72.869722
Chaparral,,,,,3.723611,-75.484722
Charalá,,,Parroquia,,6.2875,-73.146667
Chía,,,,,4.863333,-74.052778
Chipatá,,,,,6.061389,-73.637778
Chiquinquirá,,,,,5.6175,-73.816389
Chiriví,,Nuevo Colón,Pueblo,Turmequé,5.354673,-73.457339
Chita,,,,,6.187778,-72.4725
Chivatá,,,Pueblo,Tunja,5.558611,-73.282222
Chocontá,,,,,5.146667,-73.6825
Citará,Quibdó,Quibdó,Ciudad,Chocó,5.690442,-76.661494
Ciudad Real,,Las Bonitas,Poblado,,7.86847,-65.660502
Coyaima,,,,,3.7975,-75.193889
Cucunubá,,,,,5.25,-73.766111
Cúcuta,,,,,7.886378,-72.504331
Cuenca,,,,,-2.897637,-79.004552
Darién,,,,,8.06885,-76.931181
Fómeque,,,,,4.484722,-73.893611
Gachetá,,,,,4.816389,-73.636111
Garagoa,,,,,5.082222,-73.363889
